sig_f2	batch_f2	n_per_cohort	n_cohorts	n_total	method	n_reps	mean_auc	std_auc	r2_resp_diag	r2_batch_diag	ceiling_auc	delta_auc
0.007	0.08	20	1	20	percentile_norm	10	0.5700000000000001	0.220454076850486	0.04793	0.0	0.525	0.04500000000000004
0.007	0.08	20	1	20	cohort_covariate	10	0.44000000000000006	0.14106735979665885	0.05713	0.0	0.525	-0.08499999999999996
0.007	0.08	20	2	40	none	10	0.5349999999999999	0.095818839483684	0.02109	0.05717	0.525	0.009999999999999898
0.007	0.08	20	2	40	mean_centering	10	0.5075	0.10127314550264549	0.0189	0.09996	0.525	-0.01750000000000007
0.007	0.08	20	2	40	location_scale	10	0.48500000000000004	0.18121120274420124	0.02315	0.05381	0.525	-0.03999999999999998
0.007	0.08	20	2	40	quantile_mapping	10	0.48375	0.1127843628345703	0.02299	0.05478	0.525	-0.04125000000000001
0.007	0.08	20	2	40	percentile_norm	10	0.53375	0.1640360097661486	0.0221	0.04834	0.525	0.008749999999999925
0.007	0.08	20	2	40	cohort_covariate	10	0.5437500000000001	0.08371267825126609	0.02608	0.05452	0.525	0.018750000000000044
0.007	0.08	20	3	60	none	10	0.5166666666666667	0.05962847939999437	0.02549	0.09256	0.525	-0.008333333333333304
0.007	0.08	20	3	60	mean_centering	10	0.5627777777777779	0.10180621873362895	0.01387	0.09044	0.525	0.03777777777777791
0.007	0.08	20	3	60	location_scale	10	0.4961111111111111	0.09369144261752557	0.01878	0.10224	0.525	-0.02888888888888891
0.007	0.08	20	3	60	quantile_mapping	10	0.5422222222222223	0.10663772755583084	0.02198	0.10356	0.525	0.01722222222222225
0.007	0.08	20	3	60	percentile_norm	10	0.4766666666666667	0.08053831233075608	0.0158	0.10028	0.525	-0.04833333333333334
0.007	0.08	20	3	60	cohort_covariate	10	0.535	0.11925825281378866	0.01576	0.07996	0.525	0.010000000000000009
0.007	0.08	20	4	80	none	10	0.47406249999999994	0.10422753429996316	0.00946	0.10809	0.525	-0.05093750000000008
0.007	0.08	20	4	80	mean_centering	10	0.500625	0.05269680374557834	0.0129	0.11194	0.525	-0.024375000000000036
0.007	0.08	20	4	80	location_scale	10	0.5087499999999999	0.06739865076542705	0.01459	0.11385	0.525	-0.016250000000000098
0.007	0.08	20	4	80	quantile_mapping	10	0.50625	0.05917730244781355	0.01136	0.09143	0.525	-0.018750000000000044
0.007	0.08	20	4	80	percentile_norm	10	0.49156249999999996	0.06025742303857676	0.0063	0.11145	0.525	-0.033437500000000064
0.007	0.08	20	4	80	cohort_covariate	10	0.5103125000000001	0.08188513773115363	0.01261	0.09717	0.525	-0.014687499999999964
0.007	0.08	40	1	40	none	10	0.5437500000000001	0.10491812283871646	0.03355	0.0	0.55125	-0.007499999999999951
0.007	0.08	40	1	40	mean_centering	10	0.5462500000000001	0.1672432734073332	0.0222	0.0	0.55125	-0.004999999999999893
