run_accession	actual	n_features	EN_prob_R	EN_pred	EN_correct	EN_inner_auc	EN_best_C	EN_best_l1	RF_prob_R	RF_pred	RF_correct	RF_inner_auc	RF_best_n_est	RF_best_depth	XGB_prob_R	XGB_pred	XGB_correct	XGB_inner_auc	XGB_best_n_est	XGB_best_depth	XGB_best_lr
ERR6232458	NR	65	0.0169	NR	YES	0.6169	1.0	0.5	0.3507	NR	YES	0.5425	500	10	0.3628	NR	YES	0.6106	200	2	0.1
ERR6232518	NR	65	0.1178	NR	YES	0.5421	10.0	0.3	0.1795	NR	YES	0.4851	200	10	0.0589	NR	YES	0.5268	100	2	0.1
ERR6232521	R	65	0.3699	NR	NO	0.6022	1.0	0.7	0.4218	NR	NO	0.5011	500	5	0.4746	NR	NO	0.5479	100	2	0.05
ERR6232522	NR	65	0.8066	R	NO	0.5772	10.0	0.3	0.53	R	NO	0.4722	200	None	0.7951	R	NO	0.5224	100	3	0.05
ERR6232523	NR	65	0.9734	R	NO	0.5595	1.0	0.7	0.5541	R	NO	0.5303	500	5	0.2499	NR	YES	0.5317	200	2	0.1
ERR6232524	R	65	0.0031	NR	NO	0.6032	10.0	0.3	0.45	NR	NO	0.4677	200	None	0.2257	NR	NO	0.502	200	3	0.05
ERR6232525	NR	65	0.0457	NR	YES	0.5962	100.0	0.3	0.2717	NR	YES	0.4785	500	5	0.1061	NR	YES	0.4897	100	2	0.1
ERR6232526	NR	65	0.002	NR	YES	0.5397	1.0	0.7	0.225	NR	YES	0.4795	200	None	0.1419	NR	YES	0.5348	100	3	0.05
ERR6232527	NR	65	0.2554	NR	YES	0.5916	1.0	0.7	0.36	NR	YES	0.4878	200	None	0.6927	R	NO	0.5608	200	2	0.1
ERR6232528	R	65	0.0504	NR	NO	0.5168	1.0	0.7	0.4141	NR	NO	0.5019	200	5	0.5105	R	YES	0.5393	200	2	0.05
ERR6232529	R	65	0.4281	NR	NO	0.6555	1.0	0.7	0.46	NR	NO	0.4979	200	None	0.762	R	YES	0.5846	200	2	0.05
ERR6232686	NR	65	0.0428	NR	YES	0.5576	1.0	0.3	0.5821	R	NO	0.5363	200	5	0.6973	R	NO	0.5639	200	2	0.1
ERR6232687	R	65	0.9671	R	YES	0.5457	1.0	0.7	0.4223	NR	NO	0.4286	200	10	0.581	R	YES	0.4801	100	2	0.1
ERR6232688	R	65	0.7957	R	YES	0.5863	1.0	0.3	0.3707	NR	NO	0.5045	200	10	0.2488	NR	NO	0.5497	100	2	0.1
ERR6233692	NR	65	0.9595	R	NO	0.5871	1.0	0.5	0.38	NR	YES	0.5423	500	None	0.0898	NR	YES	0.5696	200	2	0.1
ERR6233693	NR	65	0.057	NR	YES	0.5862	1.0	0.3	0.338	NR	YES	0.5066	500	None	0.055	NR	YES	0.5246	200	2	0.1
ERR6233694	NR	65	0.296	NR	YES	0.6012	1.0	0.3	0.3735	NR	YES	0.5299	500	5	0.498	NR	YES	0.5714	100	3	0.1
ERR6233695	NR	65	0.0013	NR	YES	0.6013	10.0	0.3	0.3049	NR	YES	0.4599	500	5	0.0189	NR	YES	0.5221	200	3	0.1
ERR6235716	NR	65	0.0009	NR	YES	0.5351	1.0	0.7	0.223	NR	YES	0.461	200	10	0.1625	NR	YES	0.4942	100	3	0.1
ERR6235717	NR	65	0.2086	NR	YES	0.5835	1.0	0.7	0.638	R	NO	0.5342	500	None	0.9687	R	NO	0.5528	200	3	0.1
ERR6235718	NR	65	0.9939	R	NO	0.5672	100.0	0.3	0.3734	NR	YES	0.4937	200	5	0.2025	NR	YES	0.4888	200	2	0.1
ERR6236131	R	65	0.2278	NR	NO	0.5564	1.0	0.7	0.535	R	YES	0.5081	200	None	0.9534	R	YES	0.5802	200	2	0.1
ERR6239138	R	65	0.1635	NR	NO	0.5065	1.0	0.7	0.4438	NR	NO	0.4506	500	5	0.4683	NR	NO	0.5042	200	3	0.05
ERR6239139	R	65	0.5334	R	YES	0.5984	10.0	0.3	0.2831	NR	NO	0.4853	500	10	0.1092	NR	NO	0.6042	200	2	0.1
ERR6243877	NR	65	0.0034	NR	YES	0.5298	1.0	0.7	0.4429	NR	YES	0.4474	200	5	0.4694	NR	YES	0.5194	200	2	0.05
ERR6243878	R	65	0.0355	NR	NO	0.612	1.0	0.7	0.2663	NR	NO	0.5846	200	5	0.0156	NR	NO	0.6031	200	2	0.1
ERR6243879	R	65	0.9957	R	YES	0.4827	100.0	0.3	0.388	NR	NO	0.4596	500	None	0.2565	NR	NO	0.5433	200	2	0.05
ERR6243880	R	65	0.9203	R	YES	0.6273	1.0	0.7	0.4435	NR	NO	0.5501	200	5	0.4059	NR	NO	0.5524	100	3	0.05
ERR6248618	NR	65	0.0234	NR	YES	0.5807	100.0	0.3	0.2447	NR	YES	0.4637	200	10	0.0465	NR	YES	0.5209	100	3	0.1
ERR6254869	NR	65	0.8336	R	NO	0.5604	10.0	0.3	0.4425	NR	YES	0.5217	200	10	0.2544	NR	YES	0.5367	200	2	0.05
ERR6254870	NR	65	0.0093	NR	YES	0.5325	1.0	0.7	0.4851	NR	YES	0.4801	200	5	0.0631	NR	YES	0.5206	200	3	0.1
ERR6254871	NR	65	0.9793	R	NO	0.5891	1.0	0.5	0.5266	R	NO	0.5196	200	10	0.7222	R	NO	0.4834	200	2	0.1
ERR6257997	NR	65	0.7715	R	NO	0.5779	1.0	0.7	0.6027	R	NO	0.4759	500	5	0.7654	R	NO	0.5737	100	2	0.1
ERR6264280	R	65	0.9	R	YES	0.6077	1.0	0.3	0.2935	NR	NO	0.5063	500	5	0.4166	NR	NO	0.5607	100	3	0.1
ERR6264281	NR	65	0.402	NR	YES	0.6163	1.0	0.3	0.454	NR	YES	0.4906	500	None	0.6801	R	NO	0.5928	100	3	0.1
